sample_idx,is_outlier,iforest_score
358,0,0.011390898866312504
359,0,0.11672854507512298
360,0,0.17258160106558446
361,0,0.1656570974830881
362,0,0.0810187844364153
363,0,0.13452393599382007
364,0,0.17207845118425164
365,0,0.058527296192504186
366,0,0.15687681648858015
367,0,0.17562656904312168
368,0,0.15245169629847605
369,1,-0.03166050171253132
370,1,-0.020221337013834995
371,0,0.11532301201846357
372,0,0.1555348679606679
373,0,0.10282859511388615
374,0,0.16555415216421077
375,0,0.04972685290730017
376,0,0.15929123117465005
377,0,0.01767182802651507
378,0,0.11098920381895189
379,0,0.012461138875449973
380,1,-0.028545169522006475
381,0,0.16711858189598144
382,0,0.1731745034833364
383,0,0.07276273557587654
384,0,0.1631754707242714
385,0,0.1579841604716103
386,0,0.15470451952719744
387,0,0.15750723017866203
388,1,-0.0032915687049017706
389,0,0.10260386776624497
390,0,0.15843252103036454
391,0,0.1709841909994565
392,1,-0.02011955899986706
393,0,0.1758778200782648
394,0,0.16235731329870529
395,0,0.009231521742835147
396,0,0.1616619782318512
397,0,0.135516278950139
398,0,0.14870736871036855
399,0,0.10489777405916056
400,0,0.17882683779188552
401,0,0.16280380171169795
402,0,0.14203209607613038
403,0,0.14353985528597873
404,0,0.1296914251331347
405,0,0.16465825172147225
406,0,0.09709551889772666
407,0,0.16538296509109995
408,0,0.14935968264706706
409,0,0.1482243960611742
410,0,0.15657170719918534
411,0,0.16745767064542982
412,0,0.10680571823738005
413,0,0.14735790466027376
414,0,0.13062963307848557
415,0,0.17028926950490375
416,0,0.16457168939424305
417,0,0.12761894156851344
418,0,0.17087564277202572
419,0,0.1810664441214419
420,0,0.17050287490065935
421,0,0.16230603792806653
422,0,0.14355110335169874
423,0,0.15871717907768484
424,0,0.1030607464555009
425,0,0.1743433120230512
426,0,0.17868283869824125
427,0,0.17544292314592103
428,0,0.16503421810469182
429,0,0.17216595836559134
430,0,0.09364469737668751
431,0,0.11162332585128848
432,0,0.1759765274846684
433,0,0.17972192228464756
434,0,0.11010228881077183
435,0,0.18077041596985244
436,0,0.14397165552941782
437,0,0.16031361407502948
438,0,0.17424881327207414
439,0,0.1632153549965693
440,0,0.1781688083412345
441,0,0.1626156976812489
442,0,0.093464289782624
443,1,-0.0012523862130449093
444,1,-0.0035205614260689355
445,0,0.17017616689679815
446,0,0.17305622092679313
447,0,0.12692389067473442
448,0,0.17785910268089633
449,0,0.17379183286391275
450,0,0.15708560416145922
451,0,0.021213719095884043
452,0,0.03498109177933589
453,0,0.026532252917472077
454,0,0.1761357676416711
455,0,0.17410210891602879
456,0,0.09745079398432349
457,0,0.08554782488316576
458,0,0.14679932878204094
459,0,0.1528358229431394
460,0,0.13899626677887422
461,0,0.00851078759635282
462,0,0.06964743661599765
463,0,0.1571425246328681
464,0,0.17070797436497132
465,0,0.17170048307441055
466,0,0.16244437032681935
467,0,0.1693635894751765
468,0,0.16614015250829922
469,0,0.11022816224908971
470,0,0.13203852486826895
471,0,0.030766143086431996
472,0,0.12262655849615717
473,0,0.16046543692392
474,0,0.1610718058082114
475,0,0.13381567085997054
476,0,0.07481310920813072
477,1,-0.007174755904706509
478,0,0.15400944290213908
479,0,0.10202068579318058
480,0,0.16316207554033768
481,0,0.08493140777720415
482,0,0.1753506651343139
483,0,0.16905883376748693
484,0,0.1439575976837839
485,0,0.16785174266115704
486,0,0.15683577754988404
487,0,0.139863690782985
488,0,0.14356616127245203
489,0,0.1685245124788297
490,0,0.15468989514722842
491,0,0.14493945987921097
492,0,0.17061914399658717
493,0,0.1718346174301078
494,0,0.16379358848092862
495,0,0.13497587256872268
496,0,0.1178245544991865
